name,symbol,seller_fee_basis_points,Monkey Name,Monkey ID,Monkey Parents,Monkey Gender,Monkey Date of Birth,Alpha Score,Color,Tattoo,Hairstyle,Eyes,Mouth,Nose,Ears,Arms,Legs,Outfit,Pattern Style,Accuracy,Max Accuracy,Passing,Max Passing,Defense,Max Defense,Control,Max Control,Precision Shot,Protective Holding,Hard Header,Flank Pass,Extreme Pressing,Pass Interception,Hard Tackle,Defensive Awareness,Last Stand Defense,Golden Gloves,Goalie Resistance,Goalie Long Ball,Monkey evolution history,Type,Created,collection: name/family,creators: address/share
Monkey #11073,ML,450,Omishi,11073,,Male,2022-01-24T20:29:31.8338,424,Titanic Blue,None,Flame Top,Shocked Glass Eyes,Smirk,Silver Septum Ring on Stubby Nose,Single Ear Gold Spikes,Leaf Tip Max Muscle,Leaf Tip,Sleeveless Hoodie,Inverted Pulse,15,90,16,80,13,79,19,82,0.11,0.1,0.12,0.2,0.02,0.02,0.08,0.1,0.06,0.06,0.05,0.07,[],Monkey,1643048971,2022 Gen Zero/MonkeyLeague,BAjb6D4n8LGrzGpncShKFxkD8dpGKM3KoZ6yrmSrai8k/100
Monkey #11397,ML,450,Nasol,11397,,Male,2022-01-24T20:29:31.9570,436,MonkeyBrown,None,Backward Snapback Cap,Thin Bridge MonkeyFocals,Smirk,Waterfall,Elf,Bare Muscle Arm,Bare,Sleeveless Hoodie & Headphones,Sun Ray,18,81,17,81,22,79,17,81,0.13,0.05,0.07,0.08,0.07,0.05,0.14,0.03,0.1,0.02,0.02,0.07,[],Monkey,1643048971,2022 Gen Zero/MonkeyLeague,BAjb6D4n8LGrzGpncShKFxkD8dpGKM3KoZ6yrmSrai8k/100
Monkey #11201,ML,450,Imastein,11201,,Male,2022-01-24T20:29:31.8829,497,Titanic Blue,Lion King,Slicked Back Bun,Wicked,Poker Face Grin,Silver Septum Ring on Stubby Nose,Spoon,Wing Tip Skinny,Wing Tip,Hoodie & Headphones,Pillared Stripes,13,82,14,81,19,84,17,75,0.08,0.12,0.05,0.02,0.05,0.09,0.05,0.06,0.11,0.05,0.11,0.04,[],Monkey,1643048971,2022 Gen Zero/MonkeyLeague,BAjb6D4n8LGrzGpncShKFxkD8dpGKM3KoZ6yrmSrai8k/100
Monkey #11223,ML,450,Beemzak,11223,,Male,2022-01-24T20:29:31.8911,518,Forest Green,Tiger Skin,Backward Snapback Cap,Amazed,Poker Face Grin,Pointed,Single Ear Gold Hoop,Leaf Tip Max Muscle,Bare,Sleeveless Hoodie & Headphones,Sun Ray,13,77,10,81,16,80,18,89,0.04,0.03,0.17,0.1,0.02,0.04,0.06,0.08,0.08,0.1,0.07,0.06,[],Monkey,1643048971,2022 Gen Zero/MonkeyLeague,BAjb6D4n8LGrzGpncShKFxkD8dpGKM3KoZ6yrmSrai8k/100
Monkey #11282,ML,450,Imaidee,11282,,Male,2022-01-24T20:29:31.9133,536,Grapefruit Pink,None,Tidal Wave,Wicked,Game Face Grin,Silver Nostril Ring on Pig Nose,Pointed,Flame Tip Max Muscle,Flame Tip,Silver MonkeyTough Chain,Razor Spike,13,82,16,88,19,77,14,84,0.11,0.12,0.06,0.09,0.02,0.04,0.03,0.1,0.09,0.12,0.11,0.1,[],Monkey,1643048971,2022 Gen Zero/MonkeyLeague,BAjb6D4n8LGrzGpncShKFxkD8dpGKM3KoZ6yrmSrai8k/100
Monkey #11115,ML,450,Ginoqui,11115,,Male,2022-01-24T20:29:31.8499,564,Smurfy Blue,Tribal,Flame Top,Vengeful,Game Face Grin,Silver Septum Ring on Stubby Nose,Elf,Leaf Tip Max Muscle,Flame Tip,Silver Aztec Chain,Plain Tee,13,89,13,83,14,88,14,87,0.13,0.11,0.09,0.04,0.09,0.07,0.15,0.08,0.13,0.03,0.05,0.07,[],Monkey,1643048971,2022 Gen Zero/MonkeyLeague,BAjb6D4n8LGrzGpncShKFxkD8dpGKM3KoZ6yrmSrai8k/100
Monkey #11160,ML,450,Rumon,11160,,Male,2022-01-24T20:29:31.8674,451,Frankenstein Green,Tiger Skin,Slicked Back,Thin Bridge MonkeyFocals,Smile,Waterfall,Pigeon,Bare Muscle Arm,Flame Tip,Hoodie & Headphones,Diamond Stripes,18,82,16,85,16,79,12,83,0.07,0.1,0.06,0.05,0.11,0.05,0.03,0.06,0.1,0.16,0.03,0.07,[],Monkey,1643048971,2022 Gen Zero/MonkeyLeague,BAjb6D4n8LGrzGpncShKFxkD8dpGKM3KoZ6yrmSrai8k/100
Monkey #11315,ML,450,Blaishi,11315,,Male,2022-01-24T20:29:31.9259,494,Sandy Beach,None,Solid Color Backward Snapback Cap,Vengeful,Smile,Stubby,Spoon,Wing Tip Skinny,Flame Tip,Silver MonkeyTough Chain,Inverted Pulse,13,83,17,75,13,87,13,80,0.04,0.05,0.17,0.07,0.23,0.05,0.08,0.07,0.07,0.05,0.15,0.08,[],Monkey,1643048971,2022 Gen Zero/MonkeyLeague,BAjb6D4n8LGrzGpncShKFxkD8dpGKM3KoZ6yrmSrai8k/100
Monkey #11249,ML,450,Ralgre,11249,,Male,2022-01-24T20:29:31.9009,493,Northern Brown,Lion King,Slicked Back with Bandana,Angry,Smile,Pointed,Pigeon,Wing Tip Skinny,Bare,Sleeveless Hoodie,Plain Tee,12,83,13,80,13,89,14,79,0.05,0.14,0.05,0.1,0.18,0.06,0.05,0.06,0.18,0.16,0.07,0.05,[],Monkey,1643048971,2022 Gen Zero/MonkeyLeague,BAjb6D4n8LGrzGpncShKFxkD8dpGKM3KoZ6yrmSrai8k/100
Monkey #11242,ML,450,Okidee,11242,,Male,2022-01-24T20:29:31.8983,501,Hot Purple,Tiger Skin,Messy Spikes,Sport MonkeyFocals,Smile,Pointed,Pointed,Feather Tip Muscle,Leaf Tip,Hoodie & Headphones,Horizontal Stripes,16,79,14,82,18,81,12,85,0.01,0.03,0.04,0.05,0.13,0.08,0.09,0.05,0.13,0.06,0.09,0.13,[],Monkey,1643048971,2022 Gen Zero/MonkeyLeague,BAjb6D4n8LGrzGpncShKFxkD8dpGKM3KoZ6yrmSrai8k/100
Monkey #11255,ML,450,Ogvon,11255,,Male,2022-01-24T20:29:31.9032,457,Forest Green,None,Backward Snapback Cap,Furious,Game Face Grin,Silver Septum Ring on Stubby Nose,Spoon,Flame Tip Max Muscle,Wing Tip,Hoodie & Headphones,Zig Zag,19,88,17,80,11,81,15,76,0.1,0.06,0.08,0.02,0.02,0.09,0.07,0.11,0.07,0.07,0.09,0.03,[],Monkey,1643048971,2022 Gen Zero/MonkeyLeague,BAjb6D4n8LGrzGpncShKFxkD8dpGKM3KoZ6yrmSrai8k/100
Monkey #11314,ML,450,Oqlak,11314,,Male,2022-01-24T20:29:31.9255,571,Northern Blue,Tiger Skin,Hipster Beanie,Angry,Game Face Grin,Silver Septum Ring on Waterfall Nose,Elf,Wing Tip Skinny,Flame Tip,Sleeveless Hoodie & Headphones,Plain Tee,16,85,11,79,15,89,15,76,0.08,0.04,0.07,0.08,0.19,0.09,0.19,0.14,0.07,0.07,0.12,0.1,[],Monkey,1643048971,2022 Gen Zero/MonkeyLeague,BAjb6D4n8LGrzGpncShKFxkD8dpGKM3KoZ6yrmSrai8k/100
Monkey #11324,ML,450,Oxami,11324,,Male,2022-01-24T20:29:31.9292,528,Forest Green,Lion King,Hipster Beanie,Shocked Glass Eyes,Smirk,Stubby,Block,Leaf Tip Max Muscle,Bare,Silver MonkeyKing Chain,Diamond Stripes,13,77,17,86,13,89,14,84,0.06,0.09,0.1,0.09,0.11,0.09,0.07,0.14,0.1,0.11,0.16,0.01,[],Monkey,1643048971,2022 Gen Zero/MonkeyLeague,BAjb6D4n8LGrzGpncShKFxkD8dpGKM3KoZ6yrmSrai8k/100
Monkey #11364,ML,450,Sala,11364,,Male,2022-01-24T20:29:31.9447,437,Ash Black,Tiger Skin,Messy Spikes,Angry,Smirk,Waterfall,Single Ear Gold Spikes,Bare Muscle Arm,Leaf Tip,Hoodie,Thrasher,14,84,10,82,18,77,15,82,0.12,0.04,0.02,0.03,0.09,0.07,0.03,0.06,0.1,0.08,0.07,0.08,[],Monkey,1643048971,2022 Gen Zero/MonkeyLeague,BAjb6D4n8LGrzGpncShKFxkD8dpGKM3KoZ6yrmSrai8k/100
Monkey #11113,ML,450,Flezen,11113,,Male,2022-01-24T20:29:31.8491,478,Cherry Red,Tribal,Tidal Wave,Wicked Glass Eyes,Poker Face Grin,Waterfall,Pigeon,Bare Muscle Arm,Flame Tip,Silver MonkeyKing Chain,Lightning Bolt ,10,86,13,87,17,79,16,80,0.2,0.02,0.15,0.06,0.02,0.08,0.11,0.1,0.07,0.07,0.07,0.12,[],Monkey,1643048971,2022 Gen Zero/MonkeyLeague,BAjb6D4n8LGrzGpncShKFxkD8dpGKM3KoZ6yrmSrai8k/100
Monkey #11246,ML,450,Tavo,11246,,Male,2022-01-24T20:29:31.8998,459,Hot Green,None,Mountain Top,Furious,Smirk,Pig Nose,Block,Leaf Tip Max Muscle,Bare,Silver Aztec Chain,Razor Spike,12,80,19,80,14,79,22,83,0.06,0.04,0.19,0.07,0.04,0.03,0.14,0.04,0.08,0.05,0.04,0.08,[],Monkey,1643048971,2022 Gen Zero/MonkeyLeague,BAjb6D4n8LGrzGpncShKFxkD8dpGKM3KoZ6yrmSrai8k/100
Monkey #11273,ML,450,Otlee,11273,,Male,2022-01-24T20:29:31.9099,380,Ash Black,Lion King,Messy Spikes,Shocked Glass Eyes,Smile,Waterfall,Spoon,Bare Muscle Arm,Bare,Sleeveless Hoodie,Inverted Pulse,20,83,16,83,16,81,13,80,0.04,0.1,0.07,0.08,0.1,0.04,0.06,0.08,0.15,0.12,0.03,0.09,[],Monkey,1643048971,2022 Gen Zero/MonkeyLeague,BAjb6D4n8LGrzGpncShKFxkD8dpGKM3KoZ6yrmSrai8k/100
Monkey #11147,ML,450,Shigen,11147,,Male,2022-01-24T20:29:31.8625,570,Sandy Beach,Dragon Flames,Plain Colored Tip Snapback Cap,Furious,Game Face Grin,Pig Nose,Spoon,Wing Tip Skinny,Wing Tip,Silver Aztec Chain,Horizontal Stripes,15,79,12,88,16,88,16,77,0.02,0.08,0.08,0.06,0.11,0.02,0.04,0.12,0.18,0.14,0.05,0.06,[],Monkey,1643048971,2022 Gen Zero/MonkeyLeague,BAjb6D4n8LGrzGpncShKFxkD8dpGKM3KoZ6yrmSrai8k/100
Monkey #11195,ML,450,Qeezel,11195,,Male,2022-01-24T20:29:31.8806,579,Ash Black,Ancient Script,Flame Top,Hulky Green Laser Mechanical Eyes,Toothpick Grin,Stubby,Elf,Flame Tip Max Muscle,Wing Tip,Silver Aztec Chain,Plain Tee,14,84,10,86,15,80,18,82,0.1,0.18,0.11,0.12,0.06,0.07,0.08,0.09,0.07,0.06,0.09,0.06,[],Monkey,1643048971,2022 Gen Zero/MonkeyLeague,BAjb6D4n8LGrzGpncShKFxkD8dpGKM3KoZ6yrmSrai8k/100
Monkey #11238,ML,450,Samvon,11238,,Male,2022-01-24T20:29:31.8968,443,Jungle Green,Tiger Skin,Slicked Back with Bandana,Shocked Glass Eyes,Laughing,Pointed,Pigeon,Bare Muscle Arm,Wing Tip,Silver Aztec Chain,Half n Half,11,78,12,85,19,79,21,82,0.11,0.08,0.04,0.03,0.2,0.1,0.08,0.08,0.04,0.09,0.19,0.08,[],Monkey,1643048971,2022 Gen Zero/MonkeyLeague,BAjb6D4n8LGrzGpncShKFxkD8dpGKM3KoZ6yrmSrai8k/100
Monkey #11368,ML,450,Booitsu,11368,,Male,2022-01-24T20:29:31.9462,432,Northern Blue,None,Tidal Wave,Wicked Glass Eyes,Laughing,Pointed,Block,Bare Muscle Arm,Bare,Hoodie & Headphones,Horizontal Stripes,15,89,12,77,14,84,12,81,0.04,0.07,0.04,0.07,0.07,0.07,0.17,0.06,0.1,0.15,0.12,0.09,[],Monkey,1643048971,2022 Gen Zero/MonkeyLeague,BAjb6D4n8LGrzGpncShKFxkD8dpGKM3KoZ6yrmSrai8k/100
Monkey #11094,ML,450,Chaza,11094,,Male,2022-01-24T20:29:31.8421,584,MonkeySky Blue,Tiger Skin,Plain Colored Tip Snapback Cap,Wicked Glass Eyes,Game Face Grin,Pig Nose,Block,Flame Tip Max Muscle,Bare,Silver Aztec Chain,Horizontal Stripes,15,98,17,79,14,80,16,79,0.22,0.04,0.06,0.05,0.08,0.06,0.07,0.04,0.07,0.11,0.06,0.03,[],Monkey,1643048971,2022 Gen Zero/MonkeyLeague,BAjb6D4n8LGrzGpncShKFxkD8dpGKM3KoZ6yrmSrai8k/100
Monkey #11396,ML,450,Mestein,11396,,Male,2022-01-24T20:29:31.9566,472,Northern Blue,None,Mountain Top with Headband,Furious,Yelling Grin,Pig Nose,Single Ear Gold Spikes,Wing Tip Skinny,Leaf Tip,Hoodie,Inverted Pulse,17,79,12,81,12,82,15,86,0.11,0.06,0.05,0.1,0.1,0.08,0.04,0.04,0.09,0.1,0.18,0.05,[],Monkey,1643048971,2022 Gen Zero/MonkeyLeague,BAjb6D4n8LGrzGpncShKFxkD8dpGKM3KoZ6yrmSrai8k/100
Monkey #11335,ML,450,Boyay,11335,,Male,2022-01-24T20:29:31.9334,480,Hot Purple,None,Swirly Top,Angry,Smirk,Stubby,Pigeon,Leaf Tip Max Muscle,Bare,Silver MonkeyKing Chain,Diamond Stripes,14,78,10,86,15,79,21,81,0.07,0.11,0.06,0.05,0.01,0.04,0.02,0.17,0.09,0.09,0.08,0.17,[],Monkey,1643048971,2022 Gen Zero/MonkeyLeague,BAjb6D4n8LGrzGpncShKFxkD8dpGKM3KoZ6yrmSrai8k/100
Monkey #11176,ML,450,Amlan,11176,,Male,2022-01-24T20:29:31.8734,440,Blurple,Lion King,Messy Spikes,Wicked,Laughing,Stubby,Spoon,Wing Tip Skinny,Bare,Hoodie,Plain Tee,17,81,16,92,13,84,15,82,0.06,0.04,0.1,0.1,0.07,0.03,0.05,0.03,0.12,0.04,0.05,0.04,[],Monkey,1643048971,2022 Gen Zero/MonkeyLeague,BAjb6D4n8LGrzGpncShKFxkD8dpGKM3KoZ6yrmSrai8k/100
Monkey #11199,ML,450,Atmua,11199,,Male,2022-01-24T20:29:31.8821,498,Christmas Green,None,Slicked Back Bun,Mindful,Game Face Grin,Waterfall,Single Ear Gold Hoop,Leaf Tip Max Muscle,Flame Tip,Silver MonkeyKing Chain,New Age Stripes,24,85,13,79,13,87,16,81,0.18,0.07,0.08,0.08,0.11,0.08,0.06,0.07,0.09,0.07,0.05,0.08,[],Monkey,1643048971,2022 Gen Zero/MonkeyLeague,BAjb6D4n8LGrzGpncShKFxkD8dpGKM3KoZ6yrmSrai8k/100
Monkey #11123,ML,450,Oqmoo,11123,,Male,2022-01-24T20:29:31.8531,497,Himalayan Green,None,Slicked Back with Bandana,Shocked Glass Eyes,Smirk,Pig Nose,Single Ear Gold Hoops,Flame Tip Max Muscle,Bare,Silver Aztec Chain,Inverted Pulse,13,89,18,79,11,80,19,82,0.12,0.05,0.1,0.04,0.07,0.06,0.1,0.12,0.11,0.07,0.08,0.09,[],Monkey,1643048971,2022 Gen Zero/MonkeyLeague,BAjb6D4n8LGrzGpncShKFxkD8dpGKM3KoZ6yrmSrai8k/100
Monkey #11091,ML,450,Chason,11091,,Male,2022-01-24T20:29:31.8409,504,Hulky Green,Tiger Skin,Mountain Top,Angry,Laughing,Waterfall,Elf,Bare Muscle Arm,Wing Tip,Silver Aztec Chain,Horizontal Stripes,12,84,16,81,19,80,17,84,0.09,0.1,0.04,0.05,0.17,0.08,0.12,0.16,0.04,0.11,0.09,0.09,[],Monkey,1643048971,2022 Gen Zero/MonkeyLeague,BAjb6D4n8LGrzGpncShKFxkD8dpGKM3KoZ6yrmSrai8k/100
Monkey #11219,ML,450,Alre,11219,,Male,2022-01-24T20:29:31.8896,606,Hot Purple,Tiger Skin,Slicked Back,Crimson Red Mechanical Lasers,Laughing,Pig Nose,Single Ear Gold Spikes,Bare Muscle Arm,Leaf Tip,Silver Aztec Chain,Diamond Stripes,10,80,15,84,17,78,17,81,0.1,0.06,0.12,0.04,0.16,0.05,0.13,0.11,0.07,0.09,0.02,0.02,[],Monkey,1643048971,2022 Gen Zero/MonkeyLeague,BAjb6D4n8LGrzGpncShKFxkD8dpGKM3KoZ6yrmSrai8k/100
Monkey #11381,ML,450,Oymo,11381,,Male,2022-01-24T20:29:31.9510,491,Hulky Green,Tribal,Flame Top,Furious,Poker Face Grin,Waterfall,Single Ear Gold Spikes,Wing Tip Skinny,Wing Tip,Sleeveless Hoodie,Inverted Pulse,15,89,16,84,19,82,17,76,0.14,0.05,0.07,0.07,0.1,0.11,0.12,0.06,0.08,0.13,0.08,0.02,[],Monkey,1643048971,2022 Gen Zero/MonkeyLeague,BAjb6D4n8LGrzGpncShKFxkD8dpGKM3KoZ6yrmSrai8k/100
Monkey #11151,ML,450,Booad,11151,,Male,2022-01-24T20:29:31.8640,451,Christmas Green,Tribal,Messy Spikes,Angry,Smirk,Waterfall,Single Ear Gold Hoop,Flame Tip Max Muscle,Bare,Hoodie,Horizontal Stripes,14,90,22,80,14,87,12,88,0.05,0.03,0.09,0.13,0.08,0.12,0.11,0.12,0.08,0.05,0.12,0.07,[],Monkey,1643048971,2022 Gen Zero/MonkeyLeague,BAjb6D4n8LGrzGpncShKFxkD8dpGKM3KoZ6yrmSrai8k/100
Monkey #11328,ML,450,Ovino,11328,,Male,2022-01-24T20:29:31.9308,565,Northern Brown,Tribal,Ninja Headband,Sport MonkeyFocals,Toothpick Grin,Stubby,Pigeon,Wing Tip Skinny,Bare,Sleeveless Hoodie & Headphones,Inverted Pulse,17,75,11,81,16,83,18,90,0.12,0.15,0.19,0.13,0.09,0.04,0.08,0.16,0.12,0.12,0.17,0.09,[],Monkey,1643048971,2022 Gen Zero/MonkeyLeague,BAjb6D4n8LGrzGpncShKFxkD8dpGKM3KoZ6yrmSrai8k/100
Monkey #11230,ML,450,Juli,11230,,Male,2022-01-24T20:29:31.8938,429,Titanic Blue,Ancient Script,Tidal Wave,Sport MonkeyFocals,Poker Face Grin,Waterfall,Pointed,Flame Tip Max Muscle,Leaf Tip,Plain Tee,Plain Tee,18,79,12,91,12,79,13,80,0.08,0.04,0.02,0.11,0.1,0.07,0.15,0.06,0.17,0.08,0.14,0.08,[],Monkey,1643048971,2022 Gen Zero/MonkeyLeague,BAjb6D4n8LGrzGpncShKFxkD8dpGKM3KoZ6yrmSrai8k/100
Monkey #11349,ML,450,Riami,11349,,Male,2022-01-24T20:29:31.9392,502,Cocoa Banana,Tribal,Slicked Back,Crimson Red Mechanical Lasers,Poker Face Grin,Pointed,Pointed,Leaf Tip Max Muscle,Leaf Tip,Plain Tee,Diamond Stripes,19,81,18,93,14,79,18,79,0.05,0.14,0.04,0.08,0.12,0.03,0.04,0.12,0.08,0.1,0.04,0.1,[],Monkey,1643048971,2022 Gen Zero/MonkeyLeague,BAjb6D4n8LGrzGpncShKFxkD8dpGKM3KoZ6yrmSrai8k/100
Monkey #11272,ML,450,Rosky,11272,,Male,2022-01-24T20:29:31.9096,429,Ash Black,Tribal,Flame Top,Vengeful,Game Face Grin,Stubby,Block,Flame Tip Max Muscle,Leaf Tip,Plain Tee,Plain Tee,15,79,17,85,19,99,15,80,0.07,0.09,0.07,0.18,0.15,0.07,0.11,0.02,0.01,0.05,0.12,0.08,[],Monkey,1643048971,2022 Gen Zero/MonkeyLeague,BAjb6D4n8LGrzGpncShKFxkD8dpGKM3KoZ6yrmSrai8k/100
Monkey #11074,ML,450,Dohisa,11074,,Male,2022-01-24T20:29:31.8342,424,Grapefruit Pink,Tiger Skin,Tidal Wave,Amazed,Poker Face Grin,Stubby,Pointed,Bare Muscle Arm,Bare,Hoodie & Headphones,Sun Ray,20,84,22,79,18,85,12,96,0.12,0.08,0.1,0.06,0.07,0.22,0.03,0.05,0.04,0.02,0.04,0.16,[],Monkey,1643048971,2022 Gen Zero/MonkeyLeague,BAjb6D4n8LGrzGpncShKFxkD8dpGKM3KoZ6yrmSrai8k/100
Monkey #11217,ML,450,Roksam,11217,,Male,2022-01-24T20:29:31.8888,487,Grapefruit Pink,Tribal,Slicked Back Bun,Wicked Glass Eyes,Poker Face Grin,Silver Septum Ring on Stubby Nose,Pigeon,Wing Tip Skinny,Bare,Plain Tee,Pillared Stripes,13,82,18,84,16,81,13,89,0.08,0.03,0.13,0.07,0.06,0.07,0.02,0.12,0.11,0.06,0.09,0.08,[],Monkey,1643048971,2022 Gen Zero/MonkeyLeague,BAjb6D4n8LGrzGpncShKFxkD8dpGKM3KoZ6yrmSrai8k/100
Monkey #11290,ML,450,Teni,11290,,Male,2022-01-24T20:29:31.9163,437,Forest Green,Tiger Skin,Slicked Back with Bandana,Sport MonkeyFocals,Smirk,Pointed,Pigeon,Flame Tip Max Muscle,Leaf Tip,Hoodie & Headphones,Zig Zag,18,83,14,85,18,80,17,81,0.09,0.13,0.03,0.1,0.05,0.2,0.09,0.11,0.05,0.21,0.1,0.09,[],Monkey,1643048971,2022 Gen Zero/MonkeyLeague,BAjb6D4n8LGrzGpncShKFxkD8dpGKM3KoZ6yrmSrai8k/100
Monkey #11128,ML,450,Qizen,11128,,Male,2022-01-24T20:29:31.8554,526,Crimson Red,Tribal,Short Dreads with Headband,Wicked,Smile,Stubby,Elf,Feather Tip Muscle,Flame Tip,Sleeveless Hoodie,Plain Tee,17,77,13,82,16,82,12,80,0.04,0.07,0.06,0.07,0.11,0.06,0.1,0.11,0.08,0.11,0.07,0.11,[],Monkey,1643048971,2022 Gen Zero/MonkeyLeague,BAjb6D4n8LGrzGpncShKFxkD8dpGKM3KoZ6yrmSrai8k/100
